Lasso Genes 1,XGBoost Genes,Random Forest Genes,AdaBoost Genes,Intersection Lasso-XG-RF,Intersection Lasso-XG-RF-Ada,Lasso Convergence,Intersection Lasso Convergence-XG,Intersection Lasso Convergence-Ada,Intersection XG-Ada,Intersection Lasso Convergence-XG-Ada
ENSG00000276547.1,ENSG00000255152.7,ENSG00000138758.10,,,,ENSG00000101443.16,,,,
ENSG00000116824.4,ENSG00000272789.1,ENSG00000249550.5,,,,ENSG00000144810.14,,,,
ENSG00000250295.5,ENSG00000134755.13,ENSG00000175985.9,,,,ENSG00000181036.12,,,,
ENSG00000242193.8,ENSG00000153975.8,ENSG00000260027.4,,,,ENSG00000180644.6,,,,
ENSG00000270231.3,ENSG00000272696.1,ENSG00000105643.8,,,,ENSG00000226259.9,,,,
ENSG00000198208.10,ENSG00000129521.12,ENSG00000188659.8,,,,ENSG00000103241.6,,,,
ENSG00000151490.12,ENSG00000253187.2,ENSG00000104714.12,,,,ENSG00000140839.10,,,,
ENSG00000138161.11,ENSG00000164879.6,ENSG00000021762.18,,,,ENSG00000255874.2,,,,
ENSG00000140090.16,ENSG00000108384.13,ENSG00000206120.10,,,,ENSG00000162595.4,,,,
ENSG00000198535.5,ENSG00000177125.5,ENSG00000214018.3,,,,ENSG00000197253.12,,,,
ENSG00000234719.7,ENSG00000279339.1,ENSG00000258168.4,,,,ENSG00000104921.13,,,,
ENSG00000182580.2,ENSG00000164675.9,ENSG00000275858.1,,,,ENSG00000225217.1,,,,
ENSG00000183018.7,ENSG00000104723.19,ENSG00000134864.9,,,,ENSG00000267131.1,,,,
ENSG00000181847.10,ENSG00000237424.1,ENSG00000136158.9,,,,ENSG00000230772.1,,,,
ENSG00000204176.12,ENSG00000227741.1,ENSG00000106635.6,,,,ENSG00000184838.13,,,,
ENSG00000226259.9,ENSG00000226800.5,ENSG00000228451.3,,,,,,,,
ENSG00000164512.16,ENSG00000206120.10,ENSG00000107331.15,,,,,,,,
ENSG00000182809.9,ENSG00000103150.5,ENSG00000224940.7,,,,,,,,
ENSG00000040608.12,ENSG00000064195.7,ENSG00000087495.15,,,,,,,,
ENSG00000215217.5,ENSG00000109047.7,ENSG00000162733.15,,,,,,,,
ENSG00000177685.15,ENSG00000172752.13,ENSG00000174607.9,,,,,,,,
ENSG00000157152.15,ENSG00000176435.6,ENSG00000273058.2,,,,,,,,
ENSG00000232527.6,ENSG00000185022.10,ENSG00000110583.11,,,,,,,,
ENSG00000255366.1,ENSG00000088298.11,ENSG00000154027.17,,,,,,,,
ENSG00000099769.5,ENSG00000270194.1,ENSG00000165533.17,,,,,,,,
ENSG00000277978.1,ENSG00000111231.7,ENSG00000271745.1,,,,,,,,
ENSG00000101417.10,ENSG00000164494.10,ENSG00000163106.9,,,,,,,,
ENSG00000255837.1,ENSG00000277290.1,ENSG00000196715.5,,,,,,,,
ENSG00000182308.6,ENSG00000232104.3,ENSG00000217643.1,,,,,,,,
ENSG00000172086.7,ENSG00000104812.13,ENSG00000189068.8,,,,,,,,
ENSG00000223401.1,ENSG00000145220.12,ENSG00000108813.10,,,,,,,,
ENSG00000258388.6,ENSG00000160058.17,ENSG00000123610.4,,,,,,,,
ENSG00000125851.8,ENSG00000204791.7,ENSG00000228172.4,,,,,,,,
ENSG00000137731.12,ENSG00000101335.8,ENSG00000228506.1,,,,,,,,
ENSG00000256806.3,ENSG00000112130.15,ENSG00000089558.7,,,,,,,,
ENSG00000181035.12,ENSG00000054938.14,ENSG00000244482.8,,,,,,,,
ENSG00000272374.1,ENSG00000279863.1,ENSG00000226853.2,,,,,,,,
ENSG00000227946.1,ENSG00000151148.12,ENSG00000196329.9,,,,,,,,
ENSG00000248632.1,ENSG00000254577.1,ENSG00000279192.1,,,,,,,,
ENSG00000100592.14,ENSG00000163106.9,ENSG00000160094.13,,,,,,,,
ENSG00000186205.11,ENSG00000166189.7,ENSG00000279799.1,,,,,,,,
ENSG00000132793.10,ENSG00000237596.5,ENSG00000130706.11,,,,,,,,
ENSG00000114554.10,ENSG00000251002.6,ENSG00000124786.9,,,,,,,,
ENSG00000177383.4,ENSG00000280287.1,ENSG00000204767.3,,,,,,,,
ENSG00000269959.1,ENSG00000183091.18,ENSG00000110697.11,,,,,,,,
ENSG00000171388.11,ENSG00000172602.8,ENSG00000162739.12,,,,,,,,
ENSG00000154269.13,ENSG00000186583.10,ENSG00000248890.1,,,,,,,,
ENSG00000168077.12,ENSG00000139597.15,ENSG00000120889.11,,,,,,,,
ENSG00000204580.10,ENSG00000228172.4,ENSG00000135362.12,,,,,,,,
ENSG00000261026.1,ENSG00000067646.10,ENSG00000099250.16,,,,,,,,
ENSG00000121690.8,ENSG00000228630.4,ENSG00000100522.7,,,,,,,,
ENSG00000022556.14,ENSG00000151929.8,ENSG00000270823.1,,,,,,,,
ENSG00000151240.14,ENSG00000235823.1,ENSG00000162909.16,,,,,,,,
ENSG00000143801.15,ENSG00000011028.12,ENSG00000164542.11,,,,,,,,
ENSG00000186973.9,ENSG00000159708.16,ENSG00000124097.7,,,,,,,,
ENSG00000138166.5,ENSG00000104689.8,ENSG00000253878.4,,,,,,,,
ENSG00000168676.9,ENSG00000255882.1,ENSG00000269958.1,,,,,,,,
ENSG00000278126.1,ENSG00000260103.2,ENSG00000188171.13,,,,,,,,
ENSG00000277095.1,ENSG00000275367.1,ENSG00000176142.11,,,,,,,,
ENSG00000115085.12,ENSG00000139579.11,ENSG00000214753.2,,,,,,,,
ENSG00000226472.6,ENSG00000166851.13,ENSG00000268940.4,,,,,,,,
ENSG00000171346.12,ENSG00000237973.1,ENSG00000106976.17,,,,,,,,
ENSG00000109991.7,ENSG00000091651.7,ENSG00000137872.14,,,,,,,,
ENSG00000169860.6,ENSG00000137145.19,ENSG00000152953.11,,,,,,,,
ENSG00000278195.1,ENSG00000149260.13,ENSG00000005073.5,,,,,,,,
ENSG00000105639.17,ENSG00000244165.1,ENSG00000177485.6,,,,,,,,
ENSG00000260051.1,ENSG00000172425.9,ENSG00000188580.12,,,,,,,,
ENSG00000177943.12,ENSG00000185352.8,ENSG00000166411.12,,,,,,,,
ENSG00000161905.11,ENSG00000130653.14,ENSG00000019505.6,,,,,,,,
ENSG00000265625.1,ENSG00000123395.13,ENSG00000197747.7,,,,,,,,
ENSG00000267150.1,ENSG00000184182.17,ENSG00000014216.14,,,,,,,,
ENSG00000179954.13,ENSG00000100320.21,ENSG00000196890.4,,,,,,,,
ENSG00000224728.1,ENSG00000164542.11,ENSG00000171700.12,,,,,,,,
ENSG00000214654.6,ENSG00000179639.9,ENSG00000198580.7,,,,,,,,
ENSG00000260196.1,ENSG00000180357.8,ENSG00000171604.10,,,,,,,,
ENSG00000261663.1,ENSG00000277559.1,ENSG00000180998.10,,,,,,,,
ENSG00000279182.1,ENSG00000279744.1,ENSG00000162496.7,,,,,,,,
ENSG00000179104.7,ENSG00000277449.1,ENSG00000173421.15,,,,,,,,
ENSG00000267886.1,ENSG00000147642.15,ENSG00000096872.14,,,,,,,,
ENSG00000280153.1,ENSG00000159788.17,ENSG00000118193.10,,,,,,,,
ENSG00000204764.11,ENSG00000246985.6,ENSG00000122642.9,,,,,,,,
ENSG00000133454.14,ENSG00000249430.1,ENSG00000130649.8,,,,,,,,
ENSG00000166886.11,ENSG00000059378.11,ENSG00000139117.12,,,,,,,,
ENSG00000178078.10,ENSG00000184678.9,ENSG00000167748.9,,,,,,,,
ENSG00000152932.7,ENSG00000174137.11,ENSG00000152952.10,,,,,,,,
ENSG00000170458.12,ENSG00000091436.15,ENSG00000073849.13,,,,,,,,
ENSG00000240875.4,ENSG00000184545.9,ENSG00000142494.12,,,,,,,,
ENSG00000170954.10,ENSG00000185561.9,ENSG00000213658.9,,,,,,,,
ENSG00000167371.15,ENSG00000203799.9,ENSG00000105053.9,,,,,,,,
ENSG00000128271.18,ENSG00000130649.8,ENSG00000198888.2,,,,,,,,
ENSG00000272842.1,ENSG00000003056.6,ENSG00000163884.3,,,,,,,,
ENSG00000180818.4,ENSG00000187513.8,ENSG00000148468.15,,,,,,,,
ENSG00000277494.1,ENSG00000279759.1,ENSG00000260128.5,,,,,,,,
ENSG00000172322.12,ENSG00000159184.7,ENSG00000175414.6,,,,,,,,
ENSG00000205037.2,ENSG00000196730.11,ENSG00000198816.5,,,,,,,,
ENSG00000137077.6,ENSG00000114270.14,ENSG00000144199.10,,,,,,,,
