Lasso Genes 1,XGBoost Genes,Random Forest Genes,AdaBoost Genes,Intersection Lasso-XG-RF,Intersection Lasso-XG-RF-Ada,Lasso Convergence,Intersection Lasso Convergence-XG,Intersection Lasso Convergence-Ada,Intersection XG-Ada,Intersection Lasso Convergence-XG-Ada
ENSG00000233392.4,,ENSG00000031823.13,,,,,,,,
ENSG00000250790.4,,ENSG00000093072.14,,,,,,,,
ENSG00000169181.11,,ENSG00000065054.12,,,,,,,,
ENSG00000272267.2,,ENSG00000186472.18,,,,,,,,
ENSG00000130600.14,,ENSG00000143228.11,,,,,,,,
ENSG00000183671.11,,ENSG00000198576.3,,,,,,,,
ENSG00000187135.7,,ENSG00000198795.9,,,,,,,,
ENSG00000261646.1,,ENSG00000137770.12,,,,,,,,
ENSG00000151224.11,,ENSG00000105352.9,,,,,,,,
ENSG00000280721.1,,ENSG00000226562.3,,,,,,,,
ENSG00000157510.12,,ENSG00000160072.18,,,,,,,,
ENSG00000167601.10,,ENSG00000022267.15,,,,,,,,
ENSG00000170161.6,,ENSG00000169989.2,,,,,,,,
ENSG00000162522.9,,ENSG00000174004.5,,,,,,,,
ENSG00000251442.4,,ENSG00000106829.17,,,,,,,,
ENSG00000184363.8,,ENSG00000144724.17,,,,,,,,
ENSG00000254577.1,,ENSG00000142945.11,,,,,,,,
ENSG00000278949.1,,ENSG00000084652.14,,,,,,,,
ENSG00000178568.12,,ENSG00000255320.1,,,,,,,,
ENSG00000148516.20,,ENSG00000198142.4,,,,,,,,
ENSG00000183166.9,,ENSG00000167984.15,,,,,,,,
ENSG00000162068.1,,ENSG00000109819.7,,,,,,,,
ENSG00000111291.7,,ENSG00000065809.12,,,,,,,,
ENSG00000256436.1,,ENSG00000119280.15,,,,,,,,
ENSG00000146966.11,,ENSG00000198722.11,,,,,,,,
ENSG00000249267.5,,ENSG00000160678.10,,,,,,,,
ENSG00000069535.13,,ENSG00000228820.2,,,,,,,,
ENSG00000151575.13,,ENSG00000115221.9,,,,,,,,
ENSG00000171659.12,,ENSG00000225778.4,,,,,,,,
ENSG00000272787.1,,ENSG00000132122.10,,,,,,,,
ENSG00000265971.1,,ENSG00000130119.14,,,,,,,,
ENSG00000246627.5,,ENSG00000135378.3,,,,,,,,
ENSG00000185274.10,,ENSG00000274712.1,,,,,,,,
ENSG00000232352.1,,ENSG00000140848.15,,,,,,,,
ENSG00000158113.11,,ENSG00000125846.14,,,,,,,,
ENSG00000183242.10,,ENSG00000179922.5,,,,,,,,
ENSG00000151690.13,,ENSG00000218018.2,,,,,,,,
ENSG00000272425.1,,ENSG00000166825.12,,,,,,,,
ENSG00000276529.1,,ENSG00000267048.1,,,,,,,,
ENSG00000143603.17,,ENSG00000279339.1,,,,,,,,
ENSG00000012779.9,,ENSG00000182749.5,,,,,,,,
ENSG00000074181.7,,ENSG00000153283.11,,,,,,,,
ENSG00000230074.1,,ENSG00000141655.14,,,,,,,,
ENSG00000258545.4,,ENSG00000170542.5,,,,,,,,
ENSG00000262074.5,,ENSG00000129675.14,,,,,,,,
ENSG00000229380.1,,ENSG00000102385.11,,,,,,,,
ENSG00000244953.1,,ENSG00000168038.9,,,,,,,,
ENSG00000149295.12,,ENSG00000158966.12,,,,,,,,
ENSG00000186642.14,,ENSG00000115268.8,,,,,,,,
ENSG00000115112.7,,ENSG00000269220.1,,,,,,,,
ENSG00000270028.1,,ENSG00000099625.11,,,,,,,,
ENSG00000113389.14,,ENSG00000104450.11,,,,,,,,
ENSG00000163873.8,,ENSG00000235621.7,,,,,,,,
ENSG00000165899.9,,ENSG00000110274.13,,,,,,,,
ENSG00000263513.4,,ENSG00000197182.11,,,,,,,,
ENSG00000110169.9,,ENSG00000044446.10,,,,,,,,
ENSG00000261971.5,,ENSG00000156050.7,,,,,,,,
ENSG00000274987.1,,ENSG00000280670.1,,,,,,,,
ENSG00000279265.1,,ENSG00000145777.13,,,,,,,,
ENSG00000273032.1,,ENSG00000132199.17,,,,,,,,
ENSG00000241404.5,,ENSG00000164683.15,,,,,,,,
ENSG00000182866.15,,ENSG00000278002.1,,,,,,,,
ENSG00000151612.14,,ENSG00000138386.15,,,,,,,,
ENSG00000254192.1,,ENSG00000178297.11,,,,,,,,
ENSG00000281433.1,,ENSG00000184349.11,,,,,,,,
ENSG00000233421.4,,ENSG00000134545.12,,,,,,,,
ENSG00000243927.4,,ENSG00000132405.17,,,,,,,,
ENSG00000088320.3,,ENSG00000183134.4,,,,,,,,
ENSG00000116815.14,,ENSG00000196275.12,,,,,,,,
ENSG00000224397.4,,ENSG00000079819.15,,,,,,,,
ENSG00000279511.1,,ENSG00000175105.5,,,,,,,,
ENSG00000272619.1,,ENSG00000278765.1,,,,,,,,
ENSG00000145920.13,,ENSG00000114353.15,,,,,,,,
ENSG00000138686.8,,ENSG00000067606.14,,,,,,,,
ENSG00000272183.1,,ENSG00000078399.14,,,,,,,,
ENSG00000134318.12,,ENSG00000196557.9,,,,,,,,
ENSG00000275342.3,,ENSG00000168256.16,,,,,,,,
ENSG00000213411.2,,ENSG00000182796.11,,,,,,,,
ENSG00000279348.1,,ENSG00000256525.5,,,,,,,,
ENSG00000248019.2,,ENSG00000151929.8,,,,,,,,
ENSG00000130762.13,,ENSG00000185621.10,,,,,,,,
ENSG00000140836.13,,ENSG00000159708.16,,,,,,,,
ENSG00000130201.6,,ENSG00000171860.4,,,,,,,,
ENSG00000186314.10,,ENSG00000245552.5,,,,,,,,
ENSG00000147036.10,,ENSG00000144451.17,,,,,,,,
ENSG00000144668.10,,ENSG00000280649.1,,,,,,,,
ENSG00000175857.7,,ENSG00000267322.2,,,,,,,,
ENSG00000180644.6,,ENSG00000111981.4,,,,,,,,
ENSG00000133256.11,,ENSG00000122592.7,,,,,,,,
ENSG00000173559.11,,ENSG00000237973.1,,,,,,,,
ENSG00000225217.1,,ENSG00000267547.1,,,,,,,,
ENSG00000267414.1,,ENSG00000205307.9,,,,,,,,
ENSG00000105509.9,,ENSG00000133138.18,,,,,,,,
ENSG00000211448.10,,ENSG00000166689.13,,,,,,,,
ENSG00000055130.14,,ENSG00000227766.1,,,,,,,,
ENSG00000255408.3,,ENSG00000198873.11,,,,,,,,
ENSG00000264522.4,,ENSG00000095209.10,,,,,,,,
ENSG00000172139.13,,ENSG00000100906.9,,,,,,,,
ENSG00000104490.16,,ENSG00000157227.11,,,,,,,,
ENSG00000174028.6,,ENSG00000233820.2,,,,,,,,
ENSG00000100346.16,,ENSG00000153707.14,,,,,,,,
ENSG00000205702.9,,ENSG00000162444.11,,,,,,,,
ENSG00000158481.11,,ENSG00000173482.15,,,,,,,,
ENSG00000188523.7,,ENSG00000273173.4,,,,,,,,
ENSG00000259495.2,,ENSG00000253293.4,,,,,,,,
ENSG00000057468.6,,ENSG00000087237.9,,,,,,,,
ENSG00000173557.13,,ENSG00000125148.6,,,,,,,,
ENSG00000161920.8,,ENSG00000144843.10,,,,,,,,
ENSG00000168913.6,,ENSG00000091542.8,,,,,,,,
ENSG00000274191.1,,ENSG00000071242.10,,,,,,,,
ENSG00000256660.4,,ENSG00000215187.8,,,,,,,,
ENSG00000180113.14,,ENSG00000178585.13,,,,,,,,
ENSG00000223751.1,,ENSG00000073282.11,,,,,,,,
ENSG00000249572.1,,ENSG00000063046.16,,,,,,,,
ENSG00000142910.14,,ENSG00000110811.18,,,,,,,,
ENSG00000254535.3,,ENSG00000151468.10,,,,,,,,
ENSG00000261596.2,,ENSG00000213903.7,,,,,,,,
ENSG00000177551.5,,ENSG00000131187.8,,,,,,,,
ENSG00000225554.1,,ENSG00000074657.12,,,,,,,,
ENSG00000018189.11,,ENSG00000181982.16,,,,,,,,
ENSG00000151623.13,,ENSG00000103245.12,,,,,,,,
ENSG00000224097.5,,ENSG00000119703.13,,,,,,,,
ENSG00000115226.8,,ENSG00000144057.14,,,,,,,,
ENSG00000101282.7,,ENSG00000162961.12,,,,,,,,
ENSG00000225231.1,,ENSG00000177238.12,,,,,,,,
ENSG00000279878.1,,ENSG00000226742.3,,,,,,,,
ENSG00000064309.13,,ENSG00000111799.19,,,,,,,,
ENSG00000049130.12,,ENSG00000221817.8,,,,,,,,
ENSG00000178226.9,,ENSG00000067064.9,,,,,,,,
ENSG00000215859.7,,ENSG00000213937.3,,,,,,,,
ENSG00000148053.14,,ENSG00000106366.8,,,,,,,,
ENSG00000131435.11,,ENSG00000139437.16,,,,,,,,
ENSG00000121904.16,,ENSG00000165606.7,,,,,,,,
ENSG00000246089.3,,ENSG00000227755.1,,,,,,,,
ENSG00000127364.3,,ENSG00000231312.5,,,,,,,,
ENSG00000247774.5,,ENSG00000240671.2,,,,,,,,
ENSG00000253661.1,,ENSG00000255052.4,,,,,,,,
ENSG00000225329.2,,ENSG00000147912.11,,,,,,,,
ENSG00000167664.7,,ENSG00000068366.18,,,,,,,,
ENSG00000060982.13,,ENSG00000156298.11,,,,,,,,
ENSG00000184599.12,,ENSG00000164932.11,,,,,,,,
ENSG00000204869.7,,ENSG00000225880.5,,,,,,,,
ENSG00000121053.5,,ENSG00000127328.20,,,,,,,,
ENSG00000229807.8,,ENSG00000133422.11,,,,,,,,
ENSG00000249825.4,,ENSG00000103197.15,,,,,,,,
ENSG00000002586.16,,ENSG00000258733.4,,,,,,,,
ENSG00000253476.1,,ENSG00000013523.8,,,,,,,,
ENSG00000238243.3,,ENSG00000163421.7,,,,,,,,
ENSG00000182264.7,,ENSG00000079102.15,,,,,,,,
ENSG00000197405.6,,ENSG00000152377.11,,,,,,,,
ENSG00000007314.10,,ENSG00000122378.12,,,,,,,,
ENSG00000139209.14,,ENSG00000181378.12,,,,,,,,
ENSG00000126603.7,,ENSG00000267374.1,,,,,,,,
ENSG00000236081.1,,ENSG00000099139.12,,,,,,,,
ENSG00000269086.2,,ENSG00000163040.13,,,,,,,,
ENSG00000109099.12,,ENSG00000172236.15,,,,,,,,
ENSG00000130700.6,,ENSG00000211688.1,,,,,,,,
ENSG00000178125.13,,ENSG00000229715.4,,,,,,,,
ENSG00000177469.12,,ENSG00000254369.5,,,,,,,,
ENSG00000138316.9,,ENSG00000099860.7,,,,,,,,
ENSG00000116016.12,,ENSG00000130402.10,,,,,,,,
ENSG00000267397.1,,ENSG00000171843.14,,,,,,,,
ENSG00000224738.1,,ENSG00000108106.12,,,,,,,,
ENSG00000261592.1,,ENSG00000188626.6,,,,,,,,
ENSG00000171786.5,,ENSG00000141424.11,,,,,,,,
ENSG00000046774.9,,ENSG00000238085.1,,,,,,,,
ENSG00000110171.17,,ENSG00000167851.12,,,,,,,,
ENSG00000157782.8,,ENSG00000269246.1,,,,,,,,
ENSG00000232821.1,,ENSG00000253552.6,,,,,,,,
ENSG00000011465.15,,ENSG00000279978.1,,,,,,,,
ENSG00000141068.12,,ENSG00000005893.14,,,,,,,,
ENSG00000110911.13,,ENSG00000173846.11,,,,,,,,
ENSG00000198542.12,,ENSG00000198728.9,,,,,,,,
ENSG00000156575.2,,ENSG00000153132.11,,,,,,,,
ENSG00000163016.8,,ENSG00000228742.8,,,,,,,,
ENSG00000221818.7,,ENSG00000149534.7,,,,,,,,
ENSG00000281571.1,,ENSG00000147488.10,,,,,,,,
ENSG00000247081.6,,ENSG00000204231.9,,,,,,,,
ENSG00000227540.1,,ENSG00000222009.7,,,,,,,,
ENSG00000223519.6,,ENSG00000146166.15,,,,,,,,
ENSG00000243335.7,,ENSG00000179331.2,,,,,,,,
ENSG00000235092.4,,ENSG00000139679.14,,,,,,,,
ENSG00000132000.10,,ENSG00000158050.4,,,,,,,,
ENSG00000174827.12,,ENSG00000231160.8,,,,,,,,
ENSG00000127720.6,,ENSG00000007237.17,,,,,,,,
ENSG00000101977.18,,ENSG00000140839.10,,,,,,,,
ENSG00000187553.7,,ENSG00000281207.1,,,,,,,,
ENSG00000116652.6,,ENSG00000150054.17,,,,,,,,
ENSG00000225110.1,,ENSG00000132429.8,,,,,,,,
ENSG00000217275.2,,ENSG00000174032.15,,,,,,,,
ENSG00000064195.7,,ENSG00000187554.10,,,,,,,,
ENSG00000127903.13,,ENSG00000177380.12,,,,,,,,
ENSG00000267281.2,,ENSG00000182287.12,,,,,,,,
ENSG00000182107.6,,ENSG00000106733.19,,,,,,,,
ENSG00000185838.12,,ENSG00000140534.12,,,,,,,,
ENSG00000180354.14,,ENSG00000076356.6,,,,,,,,
ENSG00000168528.10,,ENSG00000139988.8,,,,,,,,
ENSG00000180881.18,,ENSG00000239552.2,,,,,,,,
ENSG00000272572.1,,ENSG00000272933.1,,,,,,,,
ENSG00000276136.1,,ENSG00000040487.11,,,,,,,,
ENSG00000278985.1,,ENSG00000140691.15,,,,,,,,
ENSG00000228172.4,,ENSG00000172081.12,,,,,,,,
ENSG00000033867.15,,ENSG00000186354.9,,,,,,,,
ENSG00000244476.2,,ENSG00000099338.21,,,,,,,,
ENSG00000203506.4,,ENSG00000127399.13,,,,,,,,
ENSG00000164128.5,,ENSG00000230453.8,,,,,,,,
ENSG00000141576.13,,ENSG00000188389.9,,,,,,,,
ENSG00000272853.1,,ENSG00000127528.5,,,,,,,,
ENSG00000165078.10,,ENSG00000213762.9,,,,,,,,
ENSG00000132470.12,,ENSG00000272447.1,,,,,,,,
ENSG00000197362.12,,ENSG00000100528.10,,,,,,,,
ENSG00000215458.7,,ENSG00000106125.14,,,,,,,,
ENSG00000151116.15,,ENSG00000225556.1,,,,,,,,
ENSG00000211638.2,,ENSG00000274026.1,,,,,,,,
ENSG00000105854.11,,ENSG00000237082.1,,,,,,,,
ENSG00000144847.11,,ENSG00000129317.13,,,,,,,,
ENSG00000273352.1,,ENSG00000119326.13,,,,,,,,
ENSG00000139970.15,,ENSG00000155465.17,,,,,,,,
ENSG00000070731.8,,ENSG00000198952.8,,,,,,,,
ENSG00000151320.9,,ENSG00000268836.1,,,,,,,,
ENSG00000163009.7,,ENSG00000135048.12,,,,,,,,
ENSG00000180422.3,,ENSG00000161203.12,,,,,,,,
ENSG00000049283.16,,ENSG00000172554.10,,,,,,,,
ENSG00000273156.1,,ENSG00000180011.6,,,,,,,,
ENSG00000106976.17,,ENSG00000078319.8,,,,,,,,
ENSG00000163145.11,,ENSG00000105967.14,,,,,,,,
ENSG00000197747.7,,ENSG00000158109.13,,,,,,,,
ENSG00000198046.10,,ENSG00000000003.13,,,,,,,,
ENSG00000255310.2,,ENSG00000103152.10,,,,,,,,
ENSG00000105137.11,,ENSG00000109046.13,,,,,,,,
ENSG00000227268.3,,ENSG00000113211.5,,,,,,,,
ENSG00000112936.17,,ENSG00000132704.14,,,,,,,,
ENSG00000135046.12,,ENSG00000147996.15,,,,,,,,
ENSG00000130649.8,,ENSG00000279495.1,,,,,,,,
ENSG00000172667.9,,ENSG00000164741.13,,,,,,,,
ENSG00000150337.12,,ENSG00000021300.12,,,,,,,,
ENSG00000107282.6,,ENSG00000162572.18,,,,,,,,
ENSG00000082438.14,,ENSG00000164692.16,,,,,,,,
ENSG00000101842.12,,ENSG00000100077.13,,,,,,,,
ENSG00000103546.17,,ENSG00000108823.14,,,,,,,,
ENSG00000103184.10,,ENSG00000182240.14,,,,,,,,
ENSG00000198846.5,,ENSG00000198554.10,,,,,,,,
ENSG00000081041.8,,ENSG00000141433.11,,,,,,,,
ENSG00000259605.3,,ENSG00000140285.8,,,,,,,,
ENSG00000182902.12,,ENSG00000177181.13,,,,,,,,
ENSG00000229891.1,,ENSG00000118898.14,,,,,,,,
ENSG00000170035.14,,ENSG00000108679.11,,,,,,,,
ENSG00000204789.4,,ENSG00000106012.16,,,,,,,,
ENSG00000169783.11,,ENSG00000172818.8,,,,,,,,
ENSG00000185761.9,,ENSG00000180071.17,,,,,,,,
ENSG00000197358.9,,ENSG00000117595.9,,,,,,,,
ENSG00000158089.13,,ENSG00000114757.17,,,,,,,,
ENSG00000259515.1,,ENSG00000277867.1,,,,,,,,
ENSG00000251194.2,,ENSG00000254389.3,,,,,,,,
ENSG00000269054.1,,ENSG00000233922.2,,,,,,,,
ENSG00000110455.12,,ENSG00000056558.9,,,,,,,,
ENSG00000280187.1,,ENSG00000092607.12,,,,,,,,
ENSG00000271553.1,,ENSG00000128849.10,,,,,,,,
ENSG00000260121.1,,ENSG00000116883.8,,,,,,,,
ENSG00000159387.7,,ENSG00000138326.17,,,,,,,,
ENSG00000111729.11,,ENSG00000280237.1,,,,,,,,
ENSG00000095397.12,,ENSG00000276533.1,,,,,,,,
ENSG00000122644.11,,ENSG00000143167.10,,,,,,,,
ENSG00000169224.11,,ENSG00000239887.4,,,,,,,,
ENSG00000115109.12,,ENSG00000251131.1,,,,,,,,
ENSG00000152492.12,,ENSG00000175262.13,,,,,,,,
ENSG00000198435.3,,ENSG00000163737.3,,,,,,,,
ENSG00000196664.4,,ENSG00000168298.5,,,,,,,,
ENSG00000273542.1,,ENSG00000125910.5,,,,,,,,
ENSG00000123689.5,,ENSG00000156414.17,,,,,,,,
ENSG00000260903.2,,ENSG00000174943.8,,,,,,,,
ENSG00000257883.1,,ENSG00000174669.10,,,,,,,,
ENSG00000196581.9,,ENSG00000155849.14,,,,,,,,
ENSG00000265806.1,,ENSG00000170909.12,,,,,,,,
ENSG00000236279.5,,ENSG00000137364.4,,,,,,,,
ENSG00000130720.11,,ENSG00000149308.15,,,,,,,,
ENSG00000244701.1,,ENSG00000084092.6,,,,,,,,
ENSG00000141314.11,,ENSG00000013588.5,,,,,,,,
ENSG00000256229.6,,ENSG00000007516.12,,,,,,,,
ENSG00000124067.15,,ENSG00000100934.13,,,,,,,,
ENSG00000214063.9,,ENSG00000115844.9,,,,,,,,
ENSG00000104921.13,,ENSG00000109472.12,,,,,,,,
ENSG00000106526.9,,ENSG00000231889.6,,,,,,,,
ENSG00000122778.8,,ENSG00000244273.1,,,,,,,,
ENSG00000075886.10,,ENSG00000225489.5,,,,,,,,
ENSG00000100142.13,,ENSG00000157881.12,,,,,,,,
ENSG00000104970.9,,ENSG00000139445.16,,,,,,,,
ENSG00000116176.6,,ENSG00000260528.3,,,,,,,,
ENSG00000136630.12,,ENSG00000131067.15,,,,,,,,
ENSG00000092295.10,,ENSG00000055813.5,,,,,,,,
ENSG00000073711.9,,ENSG00000105251.9,,,,,,,,
ENSG00000255443.1,,ENSG00000159200.16,,,,,,,,
ENSG00000132164.8,,ENSG00000135272.8,,,,,,,,
ENSG00000260005.5,,ENSG00000156968.8,,,,,,,,
ENSG00000244682.6,,ENSG00000157593.15,,,,,,,,
ENSG00000276564.1,,ENSG00000160256.11,,,,,,,,
ENSG00000250742.1,,ENSG00000224843.5,,,,,,,,
ENSG00000162896.5,,ENSG00000115255.9,,,,,,,,
ENSG00000160221.15,,ENSG00000250131.1,,,,,,,,
ENSG00000163497.2,,ENSG00000025423.10,,,,,,,,
ENSG00000205181.5,,ENSG00000105427.8,,,,,,,,
ENSG00000145103.11,,ENSG00000101608.11,,,,,,,,
ENSG00000261239.5,,ENSG00000246273.5,,,,,,,,
ENSG00000149218.4,,ENSG00000099998.16,,,,,,,,
ENSG00000187848.11,,ENSG00000101333.15,,,,,,,,
ENSG00000227954.5,,ENSG00000134962.6,,,,,,,,
ENSG00000184221.11,,ENSG00000137699.15,,,,,,,,
ENSG00000135338.12,,ENSG00000173581.6,,,,,,,,
ENSG00000280195.1,,ENSG00000237749.4,,,,,,,,
ENSG00000064692.17,,ENSG00000128322.6,,,,,,,,
ENSG00000068615.15,,ENSG00000279933.1,,,,,,,,
ENSG00000152475.6,,ENSG00000084710.12,,,,,,,,
ENSG00000169894.16,,ENSG00000089091.15,,,,,,,,
ENSG00000244219.5,,ENSG00000167419.9,,,,,,,,
ENSG00000147246.8,,ENSG00000131507.10,,,,,,,,
ENSG00000120149.8,,ENSG00000100889.10,,,,,,,,
ENSG00000108387.13,,ENSG00000121207.10,,,,,,,,
ENSG00000006534.14,,ENSG00000197530.11,,,,,,,,
ENSG00000182310.11,,ENSG00000080839.10,,,,,,,,
ENSG00000154262.11,,ENSG00000069869.14,,,,,,,,
ENSG00000227710.1,,ENSG00000091490.9,,,,,,,,
ENSG00000269019.1,,ENSG00000065675.13,,,,,,,,
ENSG00000101203.15,,ENSG00000262370.4,,,,,,,,
ENSG00000166111.8,,ENSG00000236058.3,,,,,,,,
ENSG00000135077.7,,ENSG00000259985.1,,,,,,,,
ENSG00000168350.7,,ENSG00000263961.5,,,,,,,,
ENSG00000137819.12,,ENSG00000041880.13,,,,,,,,
ENSG00000227210.1,,ENSG00000170291.13,,,,,,,,
ENSG00000111181.11,,ENSG00000213930.10,,,,,,,,
ENSG00000143552.8,,ENSG00000172673.9,,,,,,,,
ENSG00000145850.7,,ENSG00000162702.7,,,,,,,,
ENSG00000160326.12,,ENSG00000186976.13,,,,,,,,
ENSG00000169598.14,,ENSG00000127554.12,,,,,,,,
ENSG00000125430.7,,ENSG00000169429.9,,,,,,,,
ENSG00000182700.4,,ENSG00000184156.14,,,,,,,,
ENSG00000204962.5,,ENSG00000233392.4,,,,,,,,
ENSG00000273142.1,,ENSG00000235142.6,,,,,,,,
ENSG00000183036.9,,ENSG00000169258.6,,,,,,,,
ENSG00000161610.1,,ENSG00000135905.17,,,,,,,,
ENSG00000095917.12,,ENSG00000146416.15,,,,,,,,
ENSG00000229951.4,,ENSG00000173812.9,,,,,,,,
ENSG00000090659.16,,ENSG00000081377.15,,,,,,,,
ENSG00000164619.7,,ENSG00000243667.5,,,,,,,,
ENSG00000167995.14,,ENSG00000222414.1,,,,,,,,
ENSG00000113248.5,,ENSG00000157510.12,,,,,,,,
ENSG00000254838.5,,ENSG00000134716.8,,,,,,,,
ENSG00000275910.1,,ENSG00000226067.5,,,,,,,,
ENSG00000183779.6,,ENSG00000108309.11,,,,,,,,
ENSG00000138246.14,,ENSG00000206573.7,,,,,,,,
ENSG00000185958.8,,ENSG00000278224.3,,,,,,,,
ENSG00000165178.9,,ENSG00000054654.14,,,,,,,,
ENSG00000204603.5,,ENSG00000108684.13,,,,,,,,
ENSG00000009790.13,,ENSG00000165895.16,,,,,,,,
ENSG00000132821.10,,ENSG00000197798.7,,,,,,,,
ENSG00000188257.9,,ENSG00000237668.1,,,,,,,,
ENSG00000139926.14,,ENSG00000125384.6,,,,,,,,
ENSG00000165863.15,,ENSG00000281344.1,,,,,,,,
ENSG00000237978.4,,ENSG00000069535.13,,,,,,,,
ENSG00000188176.10,,ENSG00000140995.15,,,,,,,,
ENSG00000236914.3,,ENSG00000007350.15,,,,,,,,
ENSG00000112874.8,,ENSG00000280550.1,,,,,,,,
ENSG00000263214.1,,ENSG00000175556.15,,,,,,,,
ENSG00000140563.13,,ENSG00000117519.14,,,,,,,,
ENSG00000227953.5,,ENSG00000171659.12,,,,,,,,
ENSG00000105366.14,,ENSG00000181191.11,,,,,,,,
ENSG00000188215.8,,ENSG00000262222.1,,,,,,,,
ENSG00000181291.5,,ENSG00000101194.16,,,,,,,,
ENSG00000197555.8,,ENSG00000240207.5,,,,,,,,
ENSG00000166398.11,,ENSG00000149260.13,,,,,,,,
ENSG00000091482.5,,ENSG00000154719.12,,,,,,,,
ENSG00000258334.1,,ENSG00000162604.11,,,,,,,,
ENSG00000162998.4,,ENSG00000196526.9,,,,,,,,
ENSG00000258768.2,,ENSG00000258754.6,,,,,,,,
ENSG00000107104.17,,ENSG00000140632.15,,,,,,,,
ENSG00000160808.8,,ENSG00000188803.13,,,,,,,,
ENSG00000204706.13,,ENSG00000012779.9,,,,,,,,
ENSG00000265452.1,,ENSG00000145781.7,,,,,,,,
ENSG00000245975.2,,ENSG00000110200.7,,,,,,,,
ENSG00000260806.1,,ENSG00000132970.11,,,,,,,,
ENSG00000122735.14,,ENSG00000173926.5,,,,,,,,
ENSG00000129646.12,,ENSG00000221949.5,,,,,,,,
ENSG00000104723.19,,ENSG00000147117.7,,,,,,,,
ENSG00000267248.1,,ENSG00000187650.3,,,,,,,,
ENSG00000204644.8,,ENSG00000040633.11,,,,,,,,
ENSG00000167037.17,,ENSG00000167615.15,,,,,,,,
ENSG00000106565.16,,ENSG00000110934.9,,,,,,,,
ENSG00000134256.11,,ENSG00000100242.14,,,,,,,,
ENSG00000176435.6,,ENSG00000170891.9,,,,,,,,
ENSG00000233110.1,,ENSG00000174944.7,,,,,,,,
ENSG00000183793.12,,ENSG00000230383.1,,,,,,,,
ENSG00000128422.14,,ENSG00000258057.4,,,,,,,,
ENSG00000196550.9,,ENSG00000203799.9,,,,,,,,
ENSG00000144909.7,,ENSG00000198763.3,,,,,,,,
ENSG00000126878.11,,ENSG00000233822.4,,,,,,,,
ENSG00000174576.7,,ENSG00000122515.13,,,,,,,,
ENSG00000147231.12,,ENSG00000159184.7,,,,,,,,
ENSG00000144214.8,,ENSG00000244625.4,,,,,,,,
ENSG00000073008.13,,ENSG00000141027.19,,,,,,,,
ENSG00000224796.1,,ENSG00000105991.7,,,,,,,,
ENSG00000229692.3,,ENSG00000143499.12,,,,,,,,
ENSG00000248144.4,,ENSG00000165891.14,,,,,,,,
ENSG00000172716.15,,ENSG00000153898.11,,,,,,,,
ENSG00000270069.1,,ENSG00000174799.9,,,,,,,,
ENSG00000147437.8,,ENSG00000113389.14,,,,,,,,
ENSG00000175893.10,,ENSG00000261971.5,,,,,,,,
ENSG00000185565.10,,ENSG00000274253.3,,,,,,,,
ENSG00000235852.1,,ENSG00000260182.1,,,,,,,,
ENSG00000224577.1,,ENSG00000123496.6,,,,,,,,
ENSG00000106511.5,,ENSG00000267680.4,,,,,,,,
ENSG00000100558.7,,ENSG00000144647.5,,,,,,,,
ENSG00000205045.7,,ENSG00000176826.14,,,,,,,,
ENSG00000269973.1,,ENSG00000117143.12,,,,,,,,
ENSG00000276900.1,,ENSG00000118156.11,,,,,,,,
ENSG00000176732.6,,ENSG00000123358.18,,,,,,,,
ENSG00000105974.10,,ENSG00000166181.11,,,,,,,,
ENSG00000188818.11,,ENSG00000099282.8,,,,,,,,
ENSG00000269202.1,,ENSG00000173692.11,,,,,,,,
ENSG00000211669.2,,ENSG00000179583.16,,,,,,,,
ENSG00000234409.6,,ENSG00000058668.13,,,,,,,,
ENSG00000133477.15,,ENSG00000120306.8,,,,,,,,
ENSG00000253368.3,,ENSG00000138686.8,,,,,,,,
ENSG00000066629.15,,ENSG00000102934.8,,,,,,,,
ENSG00000103742.10,,ENSG00000197021.7,,,,,,,,
ENSG00000140459.16,,ENSG00000181790.9,,,,,,,,
ENSG00000156140.7,,ENSG00000198829.6,,,,,,,,
ENSG00000271430.1,,ENSG00000256463.7,,,,,,,,
ENSG00000169031.17,,ENSG00000275964.1,,,,,,,,
ENSG00000126778.8,,ENSG00000131652.12,,,,,,,,
ENSG00000126895.12,,ENSG00000166278.13,,,,,,,,
ENSG00000151650.7,,ENSG00000175832.11,,,,,,,,
ENSG00000233325.3,,ENSG00000276814.1,,,,,,,,
ENSG00000080031.8,,ENSG00000267395.4,,,,,,,,
ENSG00000160298.16,,ENSG00000156030.11,,,,,,,,
ENSG00000164120.12,,ENSG00000100814.16,,,,,,,,
ENSG00000173809.14,,ENSG00000279095.1,,,,,,,,
ENSG00000184678.9,,ENSG00000205583.12,,,,,,,,
ENSG00000169413.2,,ENSG00000270039.1,,,,,,,,
ENSG00000271971.1,,ENSG00000261586.2,,,,,,,,
ENSG00000198033.10,,ENSG00000115806.11,,,,,,,,
ENSG00000211937.3,,ENSG00000035720.6,,,,,,,,
ENSG00000235128.1,,ENSG00000198018.6,,,,,,,,
ENSG00000272986.1,,ENSG00000257718.1,,,,,,,,
ENSG00000233261.2,,ENSG00000265975.1,,,,,,,,
ENSG00000164342.11,,ENSG00000177359.16,,,,,,,,
ENSG00000176108.8,,ENSG00000198121.12,,,,,,,,
ENSG00000183690.12,,ENSG00000144730.15,,,,,,,,
